,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,elec_tariffs,rainy_days
186,18.6,1997,7,25.524327956989247,,,9
187,86.6,1997,8,25.7252688172043,,,9
188,31.1,1997,9,25.580277777777777,,,3
189,78.4,1997,10,25.561693548387098,,,8
190,158.3,1997,11,25.43972222222222,,,13
191,351.9,1997,12,25.358467741935485,,,23
192,268.8,1998,1,25.736424731182797,,,13
193,32.5,1998,2,25.87827380952381,,,5
194,58.8,1998,3,26.263440860215052,,,7
195,187.7,1998,4,26.697222222222223,,,13
196,370.8,1998,5,26.913978494623656,,,18
197,198.8,1998,6,26.106944444444444,,,15
198,259.2,1998,7,25.640860215053763,,,18
199,195.0,1998,8,25.504435483870967,,,18
200,258.2,1998,9,25.755277777777778,,,17
201,222.7,1998,10,25.591397849462364,,,20
202,107.2,1998,11,25.448749999999997,,,11
203,463.4,1998,12,25.08508064516129,,,22
204,193.9,1999,1,25.05483870967742,,,19
205,67.4,1999,2,24.86636904761905,,,9
206,181.4,1999,3,25.45228494623656,,,16
207,88.5,1999,4,25.886805555555554,,,14
208,157.1,1999,5,25.910618279569892,,,13
209,103.4,1999,6,25.735972222222223,,,13
210,225.4,1999,7,25.40255376344086,,,11
211,204.0,1999,8,25.37244623655914,,,13
212,125.9,1999,9,25.40402777777778,,,13
213,205.0,1999,10,25.106182795698924,,,20
214,241.5,1999,11,25.14402777777778,,,19
215,340.5,1999,12,24.823924731182796,,,17
216,275.2,2000,1,24.6377688172043,,,14
217,237.8,2000,2,24.785344827586204,,,18
218,238.3,2000,3,25.315188172043012,,,15
219,311.6,2000,4,25.554305555555555,,,20
220,96.8,2000,5,26.170698924731184,,,10
221,157.5,2000,6,25.51236111111111,,,16
222,116.1,2000,7,25.746370967741935,,,12
223,113.5,2000,8,25.354569892473116,,,18
224,81.1,2000,9,25.6075,,,12
225,120.9,2000,10,25.331989247311828,,,14
226,385.7,2000,11,25.583194444444448,,,21
227,236.0,2000,12,25.335887096774197,,,18
228,425.8,2001,1,24.856854838709676,,,21
229,86.6,2001,2,24.788095238095234,,,11
230,297.3,2001,3,25.350806451612904,,,20
231,203.3,2001,4,25.86472222222222,,,18
232,164.9,2001,5,26.47056451612903,,,12
233,137.1,2001,6,25.77097222222222,,,11
234,111.3,2001,7,25.7880376344086,,,9
235,158.3,2001,8,25.804973118279573,,,14
236,162.0,2001,9,25.575833333333332,,,13
237,252.2,2001,10,25.423387096774192,,,20
238,175.3,2001,11,25.157083333333333,,,15
239,609.0,2001,12,24.94233870967742,,,20
240,221.2,2002,1,24.83279569892473,,,11
241,50.8,2002,2,24.705357142857142,,,2
242,55.6,2002,3,25.528494623655916,,,8
243,116.5,2002,4,26.13722222222222,,,13
244,236.6,2002,5,26.417473118279567,,,13
245,83.1,2002,6,26.222638888888888,,,12
246,233.7,2002,7,26.05510752688172,,,11
247,54.2,2002,8,25.624193548387098,,,14
248,124.2,2002,9,25.545555555555556,,,9
249,10.8,2002,10,25.838306451612905,,,7
250,307.2,2002,11,25.49833333333333,,,15
251,255.0,2002,12,25.680779569892472,,,24
252,444.2,2003,1,24.92970430107527,,,20
253,172.9,2003,2,25.087648809523813,,,13
254,154.6,2003,3,25.84704301075269,,,11
255,159.9,2003,4,26.094305555555557,,,20
256,81.8,2003,5,26.612903225806452,,,11
257,50.3,2003,6,25.94916666666667,,,12
258,170.4,2003,7,25.634543010752687,,,14
259,193.6,2003,8,25.924865591397847,,,13
260,205.3,2003,9,25.566666666666666,,,15
261,351.4,2003,10,25.548521505376343,,,21
262,133.8,2003,11,25.443055555555556,,,19
263,273.0,2003,12,24.87150537634409,,,17
264,600.9,2004,1,25.08225806451613,,,13
265,31.9,2004,2,24.958189655172415,,,4
266,269.4,2004,3,25.739919354838708,,,16
267,57.1,2004,4,26.369027777777777,,,9
268,137.6,2004,5,26.447580645161292,,,13
269,127.2,2004,6,26.183611111111112,,,8
270,166.6,2004,7,25.38817204301075,,,20
271,185.2,2004,8,25.537365591397847,,,8
272,128.9,2004,9,25.570277777777775,,,14
273,125.6,2004,10,25.57338709677419,,,13
274,166.2,2004,11,25.41375,,,15
275,139.8,2004,12,24.87244623655914,,,14
276,163.2,2005,1,24.395967741935483,594.63,22.6,8
277,8.4,2005,2,25.330357142857142,591.238,22.6,3
278,82.4,2005,3,25.70577956989247,635.4556,22.6,12
279,81.7,2005,4,26.036805555555556,710.1496,22.6,10
280,331.1,2005,5,26.366532258064517,704.8936,22.6,20
281,82.3,2005,6,26.405694444444443,726.6268,22.6,15
282,104.0,2005,7,25.849865591397847,692.0228000000001,22.6,15
283,58.5,2005,8,25.900134408602153,675.0272,22.6,13
284,175.7,2005,9,25.996111111111112,667.42,22.6,18
285,314.5,2005,10,25.58185483870968,680.648,22.6,19
286,362.9,2005,11,25.43236111111111,677.225702811245,22.6,23
287,166.0,2005,12,25.326478494623657,625.6439516129033,22.6,19
288,454.4,2006,1,24.865591397849464,616.8335999999999,26.5,20
289,115.5,2006,2,25.37842261904762,594.896,26.5,8
290,83.1,2006,3,25.692204301075268,641.3142292490119,26.5,9
291,239.8,2006,4,25.854444444444447,703.6525691699605,26.5,18
292,205.7,2006,5,26.103629032258063,709.4090909090909,26.5,14
293,236.8,2006,6,25.99152777777778,695.8932806324111,26.5,16
294,153.8,2006,7,26.21155913978495,675.7383399209485,26.5,15
295,127.3,2006,8,25.854569892473116,690.9948,26.5,14
296,83.3,2006,9,25.40486111111111,689.8901185770751,26.5,12
297,102.0,2006,10,25.69327956989247,682.987351778656,26.5,8
298,185.6,2006,11,25.550416666666667,687.6271653543307,26.5,18
299,765.9,2006,12,25.12217741935484,637.363779527559,26.5,22
300,450.1,2007,1,24.72083333333333,610.0929133858268,24.9,20
301,105.5,2007,2,24.870535714285715,577.109842519685,24.9,3
302,269.1,2007,3,25.42043010752688,583.4614173228347,24.9,21
303,240.2,2007,4,26.00986111111111,655.1992125984252,24.9,14
304,127.2,2007,5,26.221236559139783,705.0984251968504,24.9,16
305,139.0,2007,6,26.059583333333336,720.5177165354331,24.9,12
306,141.7,2007,7,25.697580645161292,722.7035433070866,24.9,19
307,190.7,2007,8,25.4252688172043,707.0708661417323,24.9,20
308,149.0,2007,9,25.593194444444443,657.4611764705883,24.9,13
309,237.2,2007,10,25.488575268817204,663.2337254901961,24.9,16
310,367.9,2007,11,25.105833333333333,703.3850980392157,24.9,21
311,468.6,2007,12,24.704301075268816,640.1803149606299,24.9,20
312,262.6,2008,1,24.903360215053763,609.4215686274509,29.7,19
313,129.2,2008,2,24.427298850574715,611.5811764705883,29.7,8
314,294.1,2008,3,24.830510752688173,589.1570866141732,29.7,16
315,87.2,2008,4,25.641805555555553,627.8968627450981,29.7,13
316,124.9,2008,5,25.849596774193547,696.015294117647,29.7,11
317,118.3,2008,6,25.66333333333333,746.3560784313725,29.7,12
318,89.1,2008,7,25.311155913978496,670.5635294117648,29.7,15
319,327.3,2008,8,25.284408602150535,653.1334630350194,29.7,18
320,164.4,2008,9,25.344722222222224,657.1879377431906,29.7,18
321,159.5,2008,10,25.546505376344083,671.6658823529411,29.7,19
322,324.3,2008,11,25.379583333333333,691.2509803921569,29.7,16
323,244.2,2008,12,24.690591397849463,617.9960784313726,29.7,17
324,38.3,2009,1,23.982795698924733,612.1607843137255,23.9,5
325,201.8,2009,2,24.64627976190476,585.3682352941177,23.9,8
326,223.3,2009,3,25.2,588.8243137254902,23.9,19
327,183.7,2009,4,26.000694444444445,644.2450980392157,23.9,12
328,198.6,2009,5,26.366666666666667,686.8736220472441,23.9,17
329,21.8,2009,6,26.281666666666666,737.7686274509804,23.9,8
330,161.0,2009,7,25.6002688172043,721.4180392156863,23.9,16
331,177.8,2009,8,25.64354838709677,689.9303149606299,23.9,12
332,109.6,2009,9,25.86611111111111,679.030859375,23.9,13
333,133.4,2009,10,25.861424731182797,678.926171875,23.9,15
334,281.8,2009,11,25.274583333333336,693.7109375,23.9,23
335,189.8,2009,12,25.261693548387097,638.931640625,23.9,18
336,69.5,2010,1,25.016397849462365,606.30546875,27.0,10
337,6.3,2010,2,25.641964285714288,625.0515625,27.0,4
338,238.0,2010,3,25.731989247311827,682.4291828793774,27.0,11
339,158.5,2010,4,26.349444444444444,716.9836575875486,27.0,18
340,157.5,2010,5,26.713575268817205,699.5513618677044,27.0,17
341,240.5,2010,6,26.11875,730.5260700389106,27.0,19
342,298.5,2010,7,25.6497311827957,685.3330708661417,27.0,18
343,158.4,2010,8,25.741263440860216,634.448046875,27.0,16
344,121.5,2010,9,25.610833333333332,646.8227450980391,27.0,13
345,166.2,2010,10,25.80282258064516,686.214453125,27.0,17
346,278.8,2010,11,25.448611111111113,722.644804647451,27.0,21
347,181.4,2010,12,24.836290322580645,769.9293960737255,27.0,14
348,513.2,2011,1,24.433467741935484,617.915294117647,29.2,17
349,23.0,2011,2,24.69151785714286,567.452734375,29.2,8
350,256.6,2011,3,25.072311827956987,570.7145098039216,29.2,22
351,217.8,2011,4,25.689999999999998,650.659765625,29.2,12
352,127.0,2011,5,26.479166666666668,687.8190661478599,29.2,15
353,213.0,2011,6,26.13875,724.931906614786,29.2,15
354,76.6,2011,7,26.110483870967744,690.849609375,29.2,7
355,81.4,2011,8,25.56048387096774,690.78671875,29.2,13
356,136.4,2011,9,25.50986111111111,691.197265625,29.2,14
357,216.8,2011,10,25.508198924731182,675.5062256809339,29.2,20
358,377.8,2011,11,25.45347222222222,652.78828125,29.2,24
359,284.6,2011,12,25.062634408602147,609.2809338521402,29.2,21
360,106.1,2012,1,25.007930107526885,607.250390625,30.6,16
361,83.6,2012,2,25.257183908045977,610.4435797665369,30.6,11
362,313.4,2012,3,25.314247311827955,606.3894941634242,30.6,21
363,260.6,2012,4,25.57111111111111,642.7898832684825,30.6,20
364,292.0,2012,5,25.842473118279568,660.25078125,30.6,19
365,53.0,2012,6,25.799305555555556,713.937109375,30.6,8
366,130.8,2012,7,25.18494623655914,691.935546875,30.6,17
367,119.0,2012,8,25.202016129032256,680.815625,30.6,12
368,107.6,2012,9,25.150555555555556,666.43125,30.6,10
369,122.2,2012,10,25.155779569892474,659.2677042801556,30.6,13
370,208.2,2012,11,25.138472222222223,675.97734375,30.6,22
371,363.4,2012,12,24.978494623655912,620.0007782101168,30.6,22
372,262.0,2013,1,24.62849462365591,601.5807843137255,28.3,15
373,395.2,2013,2,24.79285714285714,594.0307392996109,28.3,22
374,85.8,2013,3,25.5497311827957,591.538671875,28.3,10
375,159.4,2013,4,25.81625,650.50078125,28.3,19
376,211.4,2013,5,25.848387096774193,708.3859922178989,28.3,17
377,111.4,2013,6,25.30388888888889,720.4525291828793,28.3,12
378,174.6,2013,7,25.04193548387097,693.253125,28.3,15
379,165.6,2013,8,25.04422043010753,692.1249027237354,28.3,15
380,257.0,2013,9,25.012916666666666,643.8468992248062,28.3,19
381,285.4,2013,10,24.95766129032258,654.4220930232558,28.3,19
382,292.4,2013,11,25.066666666666666,646.505078125,28.3,22
383,348.2,2013,12,24.609139784946237,600.4455252918287,28.3,21
384,75.4,2014,1,23.391129032258064,593.006976744186,27.0,5
385,0.2,2014,2,23.708333333333332,558.465234375,27.0,1
386,66.0,2014,3,24.54462365591398,562.0965116279069,27.0,6
387,110.0,2014,4,25.461805555555557,638.766926070039,27.0,17
388,125.8,2014,5,25.811424731182797,687.2058139534884,27.0,18
389,71.4,2014,6,25.880972222222223,694.3517509727626,27.0,11
390,148.6,2014,7,25.704704301075267,686.3747081712062,27.0,15
