,total_rainfall,year,month,wet_bulb_temperature,kwh_per_acc,gas_kwh_per_acc,temp_extremes_min,max_temperature,temp_var,price_electtariffs_inflatnadjusted_cent_per_kwh,mean_temp,elec_price
26,269.1,2007,3,25.42043010752688,583.4614173228347,88.23926380368098,22.5,33.5,11.0,24.9,27.5,145.28189291338583
27,240.2,2007,4,26.00986111111111,655.1992125984252,89.16042944785276,22.2,33.7,11.500000000000004,24.9,28.1,163.14460393700787
28,127.2,2007,5,26.221236559139783,705.0984251968504,87.4138036809816,22.7,33.4,10.7,24.9,28.3,175.56950787401576
29,139.0,2007,6,26.059583333333336,720.5177165354331,85.34171779141104,21.8,34.0,12.2,24.9,28.4,179.40891141732286
30,141.7,2007,7,25.697580645161292,722.7035433070866,83.07269938650307,22.6,33.0,10.399999999999999,24.9,27.7,179.95318228346457
31,190.7,2007,8,25.4252688172043,707.0708661417323,87.31134969325153,22.9,32.5,9.600000000000001,24.9,27.7,176.06064566929135
32,149.0,2007,9,25.593194444444443,657.4611764705883,90.2478527607362,23.0,32.6,9.600000000000001,24.9,27.8,163.7078329411765
33,237.2,2007,10,25.488575268817204,663.2337254901961,88.16310975609755,22.6,33.7,11.100000000000001,24.9,27.8,165.14519764705884
34,367.9,2007,11,25.105833333333333,703.3850980392157,89.34573170731707,22.1,33.5,11.399999999999999,24.9,26.9,175.1428894117647
35,468.6,2007,12,24.704301075268816,640.1803149606299,83.62134146341464,22.1,31.8,9.7,24.9,26.4,159.40489842519685
36,262.6,2008,1,24.903360215053763,609.4215686274509,86.4954268292683,22.9,33.5,10.600000000000001,29.7,26.8,180.99820588235292
37,129.2,2008,2,24.427298850574715,611.5811764705883,90.0484756097561,22.4,33.4,11.0,29.7,26.7,181.6396094117647
38,294.1,2008,3,24.830510752688173,589.1570866141732,87.68262195121952,21.8,32.7,10.900000000000002,29.7,26.5,174.97965472440941
39,87.2,2008,4,25.641805555555553,627.8968627450981,91.19085365853658,23.4,33.3,9.899999999999999,29.7,28.1,186.48536823529415
40,124.9,2008,5,25.849596774193547,696.015294117647,87.83180428134557,22.1,34.1,12.0,29.7,28.8,206.71654235294116
41,118.3,2008,6,25.66333333333333,746.3560784313725,84.04329268292683,22.0,32.9,10.899999999999999,29.7,28.2,221.6677552941176
42,89.1,2008,7,25.311155913978496,670.5635294117648,84.36768292682926,22.7,32.7,10.000000000000004,29.7,27.8,199.15736823529411
43,327.3,2008,8,25.284408602150535,653.1334630350194,87.16219512195123,22.6,32.7,10.100000000000001,29.7,27.4,193.98063852140075
44,164.4,2008,9,25.344722222222224,657.1879377431906,90.90886850152906,22.1,32.9,10.799999999999997,29.7,27.7,195.1848175097276
45,159.5,2008,10,25.546505376344083,671.6658823529411,89.92560975609756,23.1,33.3,10.199999999999996,29.7,27.6,199.4847670588235
46,324.3,2008,11,25.379583333333333,691.2509803921569,89.7109756097561,22.5,33.0,10.5,29.7,27.3,205.30154117647058
47,244.2,2008,12,24.690591397849463,617.9960784313726,83.02408536585367,22.1,32.6,10.5,29.7,26.9,183.54483529411763
48,38.3,2009,1,23.982795698924733,612.1607843137255,86.05396341463415,23.2,32.6,9.400000000000002,23.9,26.8,146.30642745098038
49,201.8,2009,2,24.64627976190476,585.3682352941177,88.18536585365854,23.1,35.0,11.899999999999999,23.9,27.3,139.90300823529412
50,223.3,2009,3,25.2,588.8243137254902,87.39329268292683,22.3,33.2,10.900000000000002,23.9,27.2,140.72901098039216
51,183.7,2009,4,26.000694444444445,644.2450980392157,89.01890243902439,22.9,34.7,11.800000000000004,23.9,28.5,153.97457843137255
52,198.6,2009,5,26.366666666666667,686.8736220472441,87.27469512195121,21.8,33.6,11.8,23.9,28.7,164.16279566929134
53,21.8,2009,6,26.281666666666666,737.7686274509804,87.77256097560976,24.0,33.7,9.700000000000003,23.9,29.1,176.3267019607843
54,161.0,2009,7,25.6002688172043,721.4180392156863,84.4435975609756,22.1,33.1,11.0,23.9,28.3,172.41891137254902
55,177.8,2009,8,25.64354838709677,689.9303149606299,88.28353658536585,22.6,33.5,10.899999999999999,23.9,28.3,164.89334527559052
56,109.6,2009,9,25.86611111111111,679.030859375,91.12743902439024,23.1,33.0,9.899999999999999,23.9,28.3,162.288375390625
